"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url"
"Wed Feb 07 10:05:13 +0000 2024","1.76E+18","Ikon semangkanya mending lepas aja. Kok bisa dukung negara Palestina tapi kamu dukung orang yg rasis thd etnis Rohingya?","0","0","0","0","in","283530457","1.76E+18","tinaparvati","https://twitter.com/tinaparvati/status/1755170845675466967"
"Wed Feb 07 10:01:16 +0000 2024","1.76E+18","Arab ni perangai lagi nakharam dari rohingya..acah acah terpaling high status padahal dekat negara sendiri duduk dalam gua","0","0","0","0","in","1.12E+18","1.76E+18","nonsnonsnons","https://twitter.com/nonsnonsnons/status/1755169852346847633"
"Wed Feb 07 10:00:16 +0000 2024","1.76E+18","@AJEnglish Bangsa Bangladesh yg diaspora sbg rohingya kenapa disuruh minta2 tanah ke negara2 lain, sedangkan yahudi yg diaspora malah maksa ambil tanah palestin  yg katanya tanah asalnya Padahal minggatnya lebih jauh dan lebih lama yahudi, harusnya yahudi yg minta tanah ke tempat baru","0","0","0","0","in","1.28E+18","1.76E+18","bardanin","https://twitter.com/bardanin/status/1755169598335533307"
"Wed Feb 07 09:48:49 +0000 2024","1.76E+18","Seramai tujuh lelaki etnik Rohingya yang merusuh dan meloloskan diri dari Blok Lelaki Depot Imigresen Sementara Bidor Khamis lalu, ditahan sekitar jam 3 petang tadi di Ladang Sawit Felcra Jalan Karchu, Tapah.  Foto : ABDULLAH YUSOF  #malaysiagazette #mgperak #PATI #Rohingya https://t.co/05mrl8fOKn","0","1","0","0","in","1.68E+18","1.76E+18","MgPerak","https://twitter.com/MgPerak/status/1755166718958465106"
"Wed Feb 07 09:48:12 +0000 2024","1.76E+18","Seramai tujuh lelaki etnik Rohingya yang merusuh dan meloloskan diri dari Blok Lelaki Depot Imigresen Sementara Bidor Khamis lalu, ditahan sekitar jam 3 petang tadi di Ladang Sawit Felcra Jalan Karchu, Tapah.   Foto : ABDULLAH YUSOF  #malaysiagazette #mgperak #PATI #Rohingya https://t.co/bBdmiaZoBg","2","4","5","12","in","1600369057","1.76E+18","MalaysiaGazette","https://twitter.com/MalaysiaGazette/status/1755166563265868269"
"Wed Feb 07 09:37:14 +0000 2024","1.76E+18","VIDEO: Imigran Rohingya Membludak, UNHCR Bingung https://t.co/zkyrE0E9qc","0","1","0","1","in","47596019","1.76E+18","liputan6dotcom","https://twitter.com/liputan6dotcom/status/1755163801811599832"
"Wed Feb 07 09:28:21 +0000 2024","1.76E+18","Sok edgy dgn nyebut2 'bukan memasak utk rohingya' aja udah aneh","0","0","0","0","in","1.51E+18","1.76E+18","rkiveshits","https://twitter.com/rkiveshits/status/1755161567501705222"
"Wed Feb 07 09:22:58 +0000 2024","1.76E+18","@chuckboyle_ @RodriChen Problematik banget nyenggol Rohingya.","0","0","0","1","in","7.33E+17","1.76E+18","ichitanthaitea","https://twitter.com/ichitanthaitea/status/1755160210363015307"
"Wed Feb 07 09:21:01 +0000 2024","1.76E+18","@utdfocusid @bliblidotcom Bisa aja rohingya nih","0","0","0","0","in","99064142","1.76E+18","sinipelukduluu","https://twitter.com/sinipelukduluu/status/1755159719340363838"
"Wed Feb 07 09:07:03 +0000 2024","1.76E+18","@omwevv @RMPertiwi @democrazymedia Bener.. Suruh bikin negara sendiri.. Rakyatnha rakyat rohingya..","0","0","0","0","in","7.69E+17","1.75E+18","enablje","https://twitter.com/enablje/status/1755156204844883983"
"Wed Feb 07 08:46:58 +0000 2024","1.76E+18","orang yang nyebarin isu negatif tentang rohingya gila gede bet dosa lu â˜ ï¸â˜ ï¸â˜ ï¸â˜ ï¸ banyak bgt yg percaya sama narasi jelek lu itu tolol","0","0","0","0","in","1.45E+18","1.76E+18","diywlrm","https://twitter.com/diywlrm/status/1755151153892122710"
"Wed Feb 07 08:37:09 +0000 2024","1.76E+18","Ngomong gini di platform laen ajalah, di mari org2 ngeliat bukan masak untuk rohingya"" aja udh pada bisa liat red flag nya. Dijadiiin contoh ideal pula. Stress""","0","0","1","0","in","31075239","1.76E+18","taltalita","https://twitter.com/taltalita/status/1755148680322261215"
"Wed Feb 07 08:29:36 +0000 2024","1.76E+18","Bukan memasak untuk Rohingya""  Gua jadi inget, ini kan orang yg juga ngolok2 gesture pengungsi rohingya pake amer OT""","0","0","1","0","in","1.54E+18","1.76E+18","NE0FLAKES","https://twitter.com/NE0FLAKES/status/1755146783746068489"
"Wed Feb 07 08:00:53 +0000 2024","1.76E+18","Serahin aja deh semuanya sama Allah yg terbaik. Tapi tetep berdoa siapapun pemimpinnya, semoga nantinya rohingya tetep ga di terima ðŸ˜­","0","0","0","0","in","259107139","1.76E+18","istrinyaAgti","https://twitter.com/istrinyaAgti/status/1755139554930250083"
"Wed Feb 07 07:51:42 +0000 2024","1.76E+18","1. Timses nya sering doxxing, fitnah dan nangkepin rakyat kecil yg ngelawan 2. Hire org femes, akun gede, mahasiswa untuk nyebar hoaks Rohingya sampe ngusir lgsg 3. Politik dinasti, paman, Bobby, Kaesang, gibran 4. Ttp lanjut sedangkan putusan dari MK dan KPU melanggar etik","0","1","0","0","in","579773577","1.76E+18","madeinjapanxxx","https://twitter.com/madeinjapanxxx/status/1755137241960370307"
"Wed Feb 07 07:43:46 +0000 2024","1.76E+18","@Orkid_Hutan_ @MALAYSIAVIRALLL Letak Bangalesh atau Rohingya flags lebih sesuai kan https://t.co/2QUtJBVZxT","1","0","1","1","in","1.33E+18","1.76E+18","dawdiedawdie","https://twitter.com/dawdiedawdie/status/1755135245933064638"
